post,topic,audience
"His job description? To explore the unknown. Get to know Jonathon Sedgwick, our new VP & head of discovery #research, and the opportunity he sees at AbbVie: https://t.co/AISmNfxhY9 https://t.co/TC3jEwelG4",company update // other,all
"In the drive toward #RacialEquity, we’re just getting started. See what progress our partners made this past year: https://t.co/yavAU3Wp4r #HealthEquity #SocialJustice @UChicagoMed, @NatUrbanLeague, @psmnow, @UNCF, @DirectRelief, @YearUp https://t.co/Uu5lyK0lPK",company announcement // other,all
How’s the progress on the New Neal Math & Science Academy in our hometown of North Chicago? ? Construction underway ? Beam signing ? Inspiration and hope in the community Watch to see more of #NewNeal2022. https://t.co/z7d0qVvemZ,partnership // other,all
Did you see us at #ASH21? Explore our #oncology opportunities and work with dedicated colleagues like Renata and Virai: https://t.co/8C9D5cehpI https://t.co/lpZ2fJ4pcJ,company announcement // conferences & outreach,all
NEWS: The @US_FDA approved the use of our latest treatment for adults living with active #PsoriaticArthritis. Learn more: https://t.co/kohixSC0gn https://t.co/Da6Vihiybd,company announcement // patents,all
How are we fueling breakthrough medicine? By investing approximately $50B in #research & #development since our opening day in 2013. https://t.co/J1PxREwXyi https://t.co/QIkHJERH0M,company announcement // conferences & outreach,all
Why is failure the key to success? @voxdotcom and AbbVie scientists explain why trial and error is essential to developing new #medicines. More: https://t.co/vw8e4lu1fY #research #development https://t.co/zX8vEHvORN,company announcement // conferences & outreach,all
"At #ASH21, we’re thrilled to come together again with advocacy groups and hematologists to discuss advancing care for #BloodCancer patients.",company announcement // motivation & support,all
"Tim Richmond, our head of HR, spoke to @Forbes on how continuous #development is a way of life at AbbVie. The recipe for success: culture, clarity and accountability to create a dynamic #learning environment. Learn more: https://t.co/GblfGYvmsM https://t.co/U6Fs0QP6uF",company announcement // other,all
"Thank you to our partners helping us drive #RacialEquity. See what progress they’ve made this year: https://t.co/2ENV6Evzzp #HealthEquity #SocialJustice @UChicagoMed, @NatUrbanLeague, @psmnow, @UNCF, @DirectRelief, @YearUp https://t.co/VbXsv1aYxn",company announcement // other,all
#ASH21 is here. Read what drives members of our #oncology team and explore our opportunities: https://t.co/SVodE7ehff https://t.co/JrblUJTEjr,partnership // research & publication,all
"Join us at #ASH21 and learn more about our #oncology careers. Explore what motivates team members like Chermaine, Partha and Asud: https://t.co/29NJ8c6Rz8 https://t.co/efXNsASOVS",company announcement // conferences & outreach,all
"What #policies will help advance science for the benefit of #patients? Philip Schwab, one of our government affairs directors, is on the hunt for answers. Here’s how he approaches his work: https://t.co/OEFCXzGZMM https://t.co/71XsBXaF6c",company announcement // motivation & support,HCP / Clinical / R&D
"To live with a disease and to develop new treatments, you have to be tenacious. In their own words, hear how tenacity has helped both patients and AbbVie #scientists overcome setbacks. https://t.co/XMTqCWmJh5 https://t.co/pj4s6dVzyJ",company announcement // motivation & support,all
NEWS: We’re sharing top-line data from the first Phase 3 induction study evaluating our investigational treatment for patients with moderate to severe #CrohnsDisease. See the results: https://t.co/ASCyD4OoxS https://t.co/KZJLfcKdEM,company announcement // research & publications,all
"With a portfolio of #medicines that treat over 60 conditions, we're helping millions of #patients today while working to discover the treatments of the future. Learn more: https://t.co/J0qPHfEaTD https://t.co/pVwremSY70",company announcement // general disease info / awareness,HCP / Clinical / R&D
"On International Day of Persons with Disabilities, we’re spotlighting Ability at AbbVie, our employee group focused on advocacy and #inclusion. Explore how they support people with seen and unseen disabilities all year long: https://t.co/GMDFtLrTVY #IDPWD2021 https://t.co/TGLAwOqgPQ",partnership // general disease info / awareness,all
The pursuit to advance care for people with #RheumaticDiseases never stops. Learn more about our ongoing commitment to #rheumatology: https://t.co/SkNw2CKf9b https://t.co/3zVRYkjmjZ,company announcement // general disease info / awareness,all
HAPPENING TODAY: Hear members of our executive leadership team present at the Evercore ISI Conference at 11:10am CT. Join the webcast: https://t.co/nirILKXDJc $ABBV https://t.co/mQdJclJsY6,company announcement // conferenes & outreach,all
Don’t miss it: Hear about a new frontier of #DigitalHealth as our experts share the latest advances in #DataConvergence on LinkedIn Live. Register today: https://t.co/NgdwlwCWD8 https://t.co/ZzkfjOlRc4,company announcement // conferences & outreach,all
ATTEND TODAY: Hear members of our executive leadership team present at the Piper Sandler Healthcare Conference at 9:30am CT. Join the webcast: https://t.co/v8GkORn9iK $ABBV https://t.co/xCZQM3bi7u,company announcement // conferences & outreach,all
#Development is key to success. That’s why we offer early career and executive development programs to ensure our employees are continuously growing. Join us: https://t.co/cGqg2AuW81 #NationalCareerDevelopmentMonth #AbbVieLife https://t.co/aaKOpMDBtR,company announcement // other,all
"In honor of #GivingTuesday, our CEO explains our philanthropic drive and commitment to do good in our communities. Learn how #AbbVieGivesBack. https://t.co/oBgGrluSCi https://t.co/eREotrtMzR",company announcement // other,all
JUST IN: We announced our @EMA_News submission for #CrohnsDisease. Learn more: https://t.co/PUBlc70p9H https://t.co/zUkr0Flgx5,company announcement // patent,all
"“Project management, communication and knowing how to motivate and mentor people.” Michelle Raine-Shepherd, chair of our #Veterans employee group, explains some of the qualities that make vets exceptional employees: https://t.co/ODeOovdAE9 #AbbVieLife https://t.co/n3eUE5kbnb",company announcement // new hire / employee update,all
#DYK that achieving remission in #RheumatoidArthritis was associated with reduced direct and indirect medical costs? See the results of a new literature review in @AdvancesTherapy: https://t.co/D60rkY3LiW https://t.co/nyoQZuJQ6U,company announcement // research & publication,all
#NewNeal2022 will be the school the students of North Chicago deserve. We can't wait to see it open next year.,company announcement // other,all
"@jfm311 Hi Fred, MyAbbVie Assist offers a variety of programs to meet the needs of specific people who are prescribed our medications. Check out this link for more information: https://t.co/9f0CelRAl8.",company announcement // patents,all
"@EgidiusLambrech Hi @EgidiusLambrech, great question! You can request a replay by reaching out to the host linked on the webcast: https://t.co/ot3ffSAA4P",partnership // other,all
Aubrey is one of our many #scientists who simply won’t back down. Hear how being tenacious has helped her and other scientists push past setbacks. https://t.co/7jKjSPACuv https://t.co/5jN9SFNNYA,company announcement // other,all
"On #InternationalMensDay, we’re celebrating the contributions men bring to our workplace and local communities with Rae Livingston, chief equity officer. Explore our commitment to #inclusion: https://t.co/l0V4W4dZVF https://t.co/1kYAcSO3n3",company announcement // new hire / employee update,all
#JPM2022 is approaching and we're looking forward to discussing collaboration opportunities during our virtual #Partnering Week January 10-14. Find out how to meet with us: https://t.co/X8WTdFOu48 #Immunology #Oncology #Neuroscience #EyeCare #Aesthetics https://t.co/r4SZLnbBvR,company announcement // conferences & outreach,all
"This #TransAwarenessWeek, explore some of the ways we support our #transgender colleagues: ?? Gender diversity education for employees ?? Partnerships with Out & Equal and GenderCool Project ?? Personal pronouns on emails & business cards More: https://t.co/0nEI137om0 https://t.co/eNhbeTGkVD",company announcement // other,all
NEWS: Results from literature review published in @AdvancesTherapy reports medical cost savings associated with achieving remission in #RheumatoidArthritis. Read the latest: https://t.co/9jLzyL4rf8 https://t.co/rXPXZzaeTs,company announcement // parents,all
"More than 50% of people with #AtopicDermatitis have missed at least one day of work or school due to the disease. From difficulty sleeping to lower self-esteem due to symptoms of AD, see how living with this disease can impact daily life: https://t.co/4c722EFF87 https://t.co/PIZfXZzeun",company announcement // general disease info / awareness,all
